City1,City2,Distance
1,2,41.677331968349414
1,3,24.698178070456937
1,4,8.246211251235321
1,5,30.886890422961002
1,6,70.32780389006896
1,7,40.0
1,8,26.627053911388696
1,9,44.28317965096906
1,10,21.18962010041709
1,11,50.08991914547278
1,12,46.486557196677836
1,13,53.23532661682466
1,14,62.81719509815764
1,15,38.948684188300895
1,16,31.04834939252005
1,17,40.26164427839479
1,18,50.08991914547278
1,19,64.88451279003334
1,20,32.7566787083184
1,21,15.264337522473747
1,22,36.24913792078372
1,23,59.413803110051795
1,24,46.04345773288535
1,25,25.942243542145693
2,3,66.18912297349165
2,4,36.40054944640259
2,5,51.35172830587107
2,6,81.49233092751734
2,7,45.17742799230607
2,8,47.853944456021594
2,9,84.11896337925236
2,10,21.2602916254693
2,11,62.76941930590086
2,12,87.72684879784524
2,13,28.231188426986208
2,14,45.17742799230607
2,15,21.400934559032695
2,16,72.09022125087424
2,17,31.144823004794873
2,18,48.60041152089147
2,19,73.57309290766564
2,20,31.016124838541646
2,21,26.419689627245813
2,22,6.708203932499369
2,23,21.18962010041709
2,24,84.17244204607586
2,25,59.682493245507096
3,4,30.23243291566195
3,5,36.87817782917155
3,6,71.02112361825881
3,7,57.0087712549569
3,8,40.162171256046406
3,9,21.37755832643195
3,10,45.880278987817846
3,11,54.00925846556311
3,12,21.840329667841555
3,13,73.7563556583431
3,14,79.64923100695951
3,15,60.108235708594876
3,16,7.0710678118654755
3,17,62.00806399170998
3,18,62.297672508690084
3,19,68.11754546370561
3,20,50.80354318352215
3,21,39.81205847478876
3,22,60.92618484691127
3,23,82.80096617793781
3,24,25.495097567963924
3,25,21.0
4,5,25.495097567963924
4,6,64.63745044476924
4,7,43.86342439892262
4,8,32.69556544854363
4,9,47.80167361086848
4,10,18.027756377319946
4,11,44.10215414239989
4,12,51.42956348249516
4,13,45.27692569068709
4,14,54.57105459856901
4,15,31.064449134018133
4,16,35.77708763999664
4,17,41.14608122288197
4,18,42.2965719651132
4,19,58.66856057549052
4,20,24.515301344262525
4,21,11.0
4,22,31.78049716414141
4,23,52.630789467763066
4,24,48.373546489791295
4,25,25.317977802344327
5,6,39.44616584663204
5,7,69.35416353759881
5,8,57.4543296888929
5,9,43.18564576337837
5,10,40.311288741492746
5,11,19.313207915827967
5,12,51.03920062069938
5,13,44.721359549995796
5,14,45.34313619501854
5,15,34.713109915419565
5,16,38.07886552931954
5,17,65.45991139621256
5,18,25.942243542145693
5,19,34.17601498127012
5,20,22.561028345356956
5,21,33.83784863137726
5,22,49.47726750741192
5,23,59.665735560705194
5,24,39.824615503479755
5,25,17.0
6,7,108.23123393919151
6,8,96.89685237405806
6,9,66.61080993352356
6,10,77.07788269017254
6,11,20.615528128088304
6,12,76.53103945458993
6,13,61.61168720299745
6,14,50.0
6,15,60.37383539249432
6,16,69.18092222571191
6,17,102.55242561733974
6,18,33.83784863137726
6,19,8.246211251235321
6,20,51.03920062069938
6,21,71.50524456289902
6,22,82.09750300709517
6,23,80.52328855678958
6,24,60.01666435249463
6,25,50.44799302251776
7,8,17.11724276862369
7,9,78.33900688673555
7,10,33.24154027718932
7,11,87.6184911990614
7,12,76.53103945458993
7,13,71.34423592694787
7,14,86.68333173107735
7,15,59.43904440685432
7,16,64.03124237432849
7,17,15.652475842498529
7,18,81.85963596303125
7,19,101.83319694480774
7,20,61.326992425847855
7,21,37.21558813185679
7,22,39.01281840626232
7,23,65.92419889539804
7,24,82.21921916437786
7,25,65.73431371817918
8,9,61.40032573203501
8,10,29.427877939124322
8,11,76.53757247260981
8,12,59.413803110051795
8,13,69.72087205421343
8,14,83.0
8,15,56.142675390472796
8,16,47.12748667179272
8,17,26.832815729997478
8,18,74.21590126111789
8,19,91.2414379544733
8,20,54.589376255824725
8,21,30.066592756745816
8,22,41.14608122288197
8,23,68.94200461257273
8,24,65.55150646628954
8,25,50.99019513592785
9,10,65.11528238439882
9,11,54.62600113499065
9,12,10.0
9,13,86.40023148117139
9,14,88.52683209061533
9,15,74.09453421137081
9,16,14.317821063276353
9,17,83.15046602394962
9,18,68.60029154456998
9,19,66.21933252457322
9,20,63.00793600809346
9,21,58.463663928973865
9,22,79.55501241279521
9,23,98.41239759298622
